,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,spotify_id
"('Meet Ze Monsta', 'Pj Harvey')",0.00805,0.614,209267,0.771,0.00678,9,0.0851,-10.7,0,0.0301,101.653,4,0.591,29A28JjjELDyZL1mUekhkC
"('Deeper Into Movies', 'Yo La Tengo')",0.255,0.213,323133,0.786,0.704,11,0.128,-5.701,1,0.0587,136.564,4,0.105,2l8vspflBOmVf67St6sZ5N
"('I Can Hear Music', 'The Beach Boys')",0.0385,0.511,157293,0.603,1.67e-06,2,0.142,-7.637,1,0.028,128.336,4,0.685,1hcMfYTsRTC4hIKbfosxjz
"('I Wipe My Ass With Showbiz', 'A Wilhelm Scream')",0.000558,0.406,65493,0.977,0,7,0.459,-3.296,1,0.0801,182.225,4,0.876,1qBw2UON51HRZMWqfpCXIb
"('Beyond The Invisible', 'Enigma')",0.0524,0.422,275200,0.773,0.0166,7,0.107,-7.921,0,0.0371,99.004,4,0.186,5gPdjsmYkLm5FWT2PXIhnF
"('Karma Police', 'Easy Star All-Stars')",0.314,0.681,288080,0.562,3.85e-05,7,0.147,-7.303,1,0.03,144.509,4,0.804,2nTcHYwkqK6NM54OExjDEi
"('As You Were', 'Alkaline Trio')",1.08e-05,0.283,131440,0.971,0.117,4,0.11,-5.629,1,0.122,118.251,4,0.384,29uU8h0e9qPyqVfNRoqQFO
"('Am I Wry? No', 'Mew')",0.00491,0.536,294733,0.919,0.437,5,0.139,-4.374,1,0.0575,130.594,4,0.531,0z5syz6Z1fKKsGZC4rIVaO
"('Refueled', 'Fear Factory')",0.00147,0.69,277600,0.755,0.124,11,0.381,-9.012,1,0.0795,99.905,4,0.224,3Vlf1kfSbzLa4ozbyIsK6f
"('Epoxi-Lips', 'Rx Bandits')",0.00595,0.353,364667,0.873,2.81e-05,2,0.313,-6.042,0,0.0864,92.07,4,0.178,2tEAyPRieofT5ktF5YlqL6
"('The Kill V2', 'Combichrist')",1.62e-05,0.518,321373,0.961,0.153,11,0.685,-4.947,0,0.0507,129.992,4,0.217,6Zopdj8MYodlObhIFHiWTD
"('Slow Dancing', 'Lucero')",0.629,0.512,225747,0.51,4.91e-05,7,0.198,-6.829,1,0.0272,112.823,4,0.222,0cdBdFzKp5u82b3wvYbV53
"('All Along The Watchtower', 'Jimi Hendrix')",0.00255,0.438,240800,0.805,5.69e-05,8,0.0842,-6.237,1,0.0624,113.253,4,0.564,2aoo2jlRnM3A0NyLQqMN2f
"('Up The Dumper', 'Melvins')",0.642,0.689,142663,0.413,0.566,9,0.108,-13.284,0,0.047,106.117,4,0.881,0OcGNahbZrDJSfYmkwe0TM
"('The Things You Said', 'Depeche Mode')",0.409,0.581,238293,0.644,0.715,0,0.104,-12.111,0,0.0249,110.056,4,0.511,3i1Th1jZXXO0ZpGKhpTKWK
"('Waiting', 'Mae')",0.00288,0.542,260507,0.884,0.000147,6,0.103,-6.451,1,0.0481,122.925,4,0.71,4naHnhDnUQZRDfr48FE6Qn
"(""Promenade Apéritive D'Un Noctambule"", 'Judith Juillerat')",0.511,0.352,284120,0.537,0.97,10,0.0842,-11.493,0,0.0331,101.732,4,0.239,05dYhs7ROSyMPY95tKEaNj
"('What Sound', 'Lamb')",0.267,0.346,236093,0.554,5.36e-05,5,0.81,-7.302,0,0.0418,110.008,4,0.287,0hbxbqrlj51BdG672DmFol
"('In The Wind', 'Iii')",0.219,0.546,163200,0.602,0.979,8,0.0594,-11.05,1,0.0298,150.037,4,0.58,0izc75X5UAXLkGotQK2zlN
"('Deep Surprise', 'Samantha James')",0.914,0.288,287851,0.39,0.0596,0,0.0826,-9.999,0,0.0378,117.558,4,0.235,1UQsCS8dyqZA9VDSho74qq
"('Besoin De La Lune', 'Manu Chao')",0.116,0.63,114680,0.787,4.56e-05,0,0.597,-7.96,1,0.0449,145.08,4,0.861,1oub2xmrWLG4Zbjku4fuPC
"('The Dam At Otter Creek', 'Live')",0.0111,0.274,281187,0.623,0.339,5,0.643,-8.561,0,0.0552,140.116,5,0.208,053lg6741LYiEHUKnG8y6c
"('Sic Semper Tyrannis', 'Mae')",0.000359,0.397,200680,0.955,0,6,0.247,-3.637,1,0.0753,158.008,4,0.389,5jIzA4psbynW0687DfTc39
"('Napoleon Says', 'Phoenix')",0.00632,0.543,193547,0.737,0.00167,7,0.109,-3.271,0,0.0324,122.978,4,0.664,69b9bN4DGak436dHislaFu
"('Second Time Around', 'Ghost')",0.283,0.496,336960,0.383,0.000119,2,0.057,-10.524,1,0.0321,132.202,3,0.165,3UgIzwX9QAa36YjrwU8G6F
"('Rv', 'Faith No More')",0.191,0.345,223427,0.575,0.0126,7,0.0984,-7.572,1,0.0293,170.095,3,0.517,2sZCBLHCnc6FQqDgoj3zER
"('Magick', 'Klaxons')",0.0122,0.306,210200,0.961,0.00151,5,0.368,-3.207,0,0.126,152.359,4,0.232,32tHv7fpzpbw8p5xMP9nSG
"('Seek & Destroy', 'Kasabian')",0.00237,0.553,135053,0.958,0.0159,10,0.162,-4.021,0,0.0508,147.015,4,0.595,5Y98o3E8XgUo9n2oDsUEw4
"('As I Sat Sadly By Her Side', 'Nick Cave & The Bad Seeds')",0.139,0.735,370573,0.403,0.473,4,0.107,-11.599,0,0.037,115.658,4,0.453,0qHeP8zt2WWef7EWCs1ECj
"('Cold Hard Bitch', 'Jet')",0.000219,0.458,243200,0.895,0.000394,2,0.106,-3.972,1,0.0681,130.327,4,0.357,5u6fnmRO5V0PTl5M2Eekeu
"('Beating Heart Baby', 'Head Automatica')",0.0027,0.458,203733,0.971,0,8,0.179,-4.549,1,0.1,149.938,4,0.489,24efdUt3KGbZ6wnBLp6j2n
"('Pirate Days', 'Culture')",0.00296,0.742,169693,0.651,0,11,0.142,-8.523,0,0.0356,136.389,4,0.92,394hkXXbuQiVcHG7YYxRBz
"(""Poor Man'S Shangri-La"", 'Ry Cooder')",0.51,0.432,325827,0.573,0.000423,5,0.269,-13.207,1,0.0417,168.199,4,0.772,7dcSlYacFNyZThu97HdZLZ
"('Hair Down', 'Cold War Kids')",0.000133,0.405,220733,0.844,1.62e-05,9,0.233,-3.548,1,0.0431,101.223,4,0.39,49lUHEUs22FyMTCs159Z32
"('Ant Farm', 'Eels')",0.695,0.394,131867,0.287,0.00195,0,0.0802,-16.363,1,0.0408,130.174,4,0.177,6t1nYyMGMV117XaCkeldAh
"(""R N' R"", 'Faith No More')",0.0506,0.417,191840,0.821,0,9,0.106,-9.046,0,0.102,136.307,4,0.431,6gq2YUfMmCQ4UTyaBMJO0t
"('Through With You', 'Maroon 5')",0.0749,0.69,181573,0.8,0,10,0.0848,-5.407,0,0.044,146.147,4,0.663,6DhtWg2DzPVEcBZoJ2CJh9
"('When You Were Mine', 'Cyndi Lauper')",0.296,0.698,306707,0.857,9.11e-06,9,0.0904,-7.151,1,0.0426,127.035,4,0.502,2elnHyjV8B2xQkfDU7CPPO
"('Cinder And Smoke', 'Iron & Wine')",0.61,0.519,231760,0.515,5.66e-05,5,0.107,-9.448,1,0.031,80.329,4,0.714,0iWUW8UNkmyUa8Aa6anow6
"('A Past Beyond Memory', 'Into Eternity')",0.000119,0.292,218253,0.966,0.0223,0,0.226,-3.882,0,0.153,127.357,1,0.377,3Wg9BDahN3lJv2oBYRqtQq
"(""I Think I'M In Love"", 'Spiritualized')",0.0467,0.47,490067,0.813,0.424,7,0.717,-6.78,1,0.0366,114.978,4,0.164,4MUjdrWSsyQgJnK8KeumgW
"('Le Petit Chevalier', 'Nico')",0.894,0.537,73040,0.101,0,10,0.0576,-22.277,1,0.0364,68.453,4,0.341,4HSUIzkj5UpNwoLoqcAWPH
"('Foreign Language', 'Anberlin')",0.000305,0.444,168533,0.817,0.000806,2,0.105,-4.471,1,0.0336,173.586,4,0.844,0hub9z0e8QIMwxBLZM6Kjq
"('Melpomene', 'Kashmir')",0.0891,0.488,279693,0.425,0.664,4,0.101,-11.232,0,0.0375,171.916,4,0.108,1Wf3e2gbo8pSAdxAMKUcOr
"('Americans Abroad', 'Against Me!')",1.57e-05,0.483,135640,0.956,0.0308,4,0.273,-3.251,1,0.0524,126.832,4,0.646,4lha1f4Vbvnka48WxQW9QS
"('Clouds Cover The Stars', 'Hammock')",0.988,0.185,94446,0.571,0.901,11,0.118,-12.94,1,0.04,71.03,4,0.126,2Jlx5S2TdPWDjrTYwNGawf
"('Molten Universe', 'Kyuss')",0.0293,0.261,169573,0.483,0.928,5,0.22,-17.875,1,0.0346,167.578,4,0.131,66i8MjAq8kyUobMzo8zYNc
"('Greeting The Light', 'High Places')",0.807,0.215,127720,0.39,0.834,7,0.137,-21.76,1,0.0646,115.561,5,0.153,4mcDwAAm9GRSb2hk1DBzse
"('Batalhão Infernal', 'Comando Nuclear')",0.0013,0.21,276733,0.969,0.0712,10,0.116,-6.081,0,0.252,155.16,4,0.329,2noS3ii4TNAzR9OSLEqQOe
"('Somedays', 'Regina Spektor')",0.975,0.486,201600,0.0835,8.49e-05,0,0.116,-12.182,1,0.0316,89.859,4,0.206,1VrCD1NPFFHUBk6Lew0Kkz
"(""I Can'T Touch You Anymore"", 'The Magnetic Fields')",0.194,0.875,185707,0.489,0.00498,4,0.0675,-8.115,0,0.0706,124.023,4,0.981,0zTbuD6GDYrOAEye1QZHsR
"('My Town', 'Armor For Sleep')",2.92e-05,0.349,212120,0.842,0,7,0.0872,-3.929,0,0.0416,171.84,4,0.515,2PGvE2TMNlNLPsPrhgoiuJ
"('I Wish', 'Babyshambles')",0.187,0.85,170213,0.831,3.82e-05,1,0.282,-5.891,1,0.0351,120.0,4,0.962,6Xq7R6vRimycmIgUJv4shc
"('Cuts The Metal Cold', ""Rachel'S"")",0.954,0.12,149053,0.0678,0.854,11,0.136,-21.289,0,0.0398,78.085,1,0.0376,3K8qIfZMUpFMUcMdRPAMnM
"('Forever Changed', 'Lou Reed / John Cale')",0.752,0.588,291547,0.4,0.0243,2,0.125,-12.722,1,0.0312,134.875,4,0.674,6U9YGHsPeYxx0I94lpX9Tj
"('Black Betty', 'Ram Jam')",0.018,0.465,237893,0.865,0.00135,11,0.0769,-9.573,0,0.098,117.528,4,0.677,2ZOTtG7v1OrSNs6EINIGb4
"('Narita Made', 'Tujiko Noriko')",0.678,0.866,306347,0.285,0.045,5,0.16,-9.141,1,0.0725,132.906,4,0.494,79vcTxWdUjFPBXXUOqfHHH
"('Rumours In Town', 'The Exploding Hearts')",0.361,0.239,152547,0.97,0,7,0.289,-0.858,1,0.0823,166.002,4,0.398,5jSHYxzQZnUNr53CHaGPWi
"('Disco Heat', 'Calvin Harris')",0.00399,0.719,270707,0.796,0.0425,5,0.283,-6.337,0,0.0382,128.026,4,0.946,2B3jjwe3iaqJ7HCNQpoilC
"('Running From The Rain', 'Thursday')",4.79e-05,0.212,240360,0.764,0.366,2,0.24,-5.04,1,0.0445,146.933,4,0.17,3KTJYfLfRFrnPmCUdvmiSl
"('The Kick Inside Of Me', 'Simple Minds')",0.00748,0.433,289947,0.989,0.48,7,0.103,-5.009,1,0.0913,148.568,4,0.394,4di8siLr4RMxEyG578EWNl
"('Christian Woman', 'Type O Negative')",0.148,0.285,538107,0.619,0.0243,11,0.22,-8.965,1,0.04,90.019,4,0.131,3634aKisKlGdUfD9V3MOY5
"('Gigolo Aunt', 'Syd Barrett')",0.0403,0.577,342800,0.536,0.00369,2,0.125,-13.953,1,0.0487,130.786,4,0.606,6TlOBDqG7cOrYwTZCJHtVn
"('Dance In The Dark', 'Proxy')",0.00403,0.478,240191,0.75,0.0856,11,0.104,-7.79,0,0.264,128.141,4,0.163,4CBg1W3WFCFwRAsyVPMKLs
"('Spread Eagle Beagle', 'Melvins')",0.137,0.604,613507,0.643,0.717,9,0.346,-16.349,1,0.118,115.479,4,0.0355,57bXVLFvxaKY9KqsoTWEqk
"('Black Sand', 'Dark Lotus')",0.000867,0.638,199213,0.843,0.000109,1,0.47,-5.611,0,0.103,94.996,4,0.577,7eoImQaFhd6kihi5oZfv9Q
"('Blink (Radio Edit)', 'John Dahlbäck')",0.105,0.552,189375,0.905,0.00226,2,0.338,-2.985,1,0.0497,128.007,4,0.0741,1L6ZjM6aj7pGGjgHVSdSPd
"('Piano', 'Daniel Barenboim')",0.979,0.257,516560,0.0275,0.919,5,0.0951,-25.544,1,0.0338,76.198,4,0.0916,5k5k5Lyqibu0WFBXtPXmBE
"(""Our Time Won'T Live That Long"", 'Madrugada')",0.867,0.338,436573,0.381,0.0164,6,0.119,-7.729,1,0.0523,184.186,4,0.0551,4CVmoM1ZjIoYLt4l9vsIUL
"('The Girl And The Robot', 'Röyksopp')",0.115,0.511,268893,0.899,0.000105,9,0.107,-5.323,0,0.0601,121.0,4,0.0773,6VCqx14OVaX9uwSvC0PvAG
"('Mephisto Waltz', 'Misfits')",0.141,0.292,105333,0.913,0,6,0.129,-7.462,0,0.143,128.829,4,0.336,4jlQZCwCaNtN6zBBOheAOQ
"('If I Could', 'Jack Johnson')",0.744,0.736,144987,0.309,0.444,9,0.0842,-14.5,1,0.045,114.173,4,0.533,49T9pCYlpvtGd9ugZt7DSZ
"('Seven Wonders', 'Nickel Creek')",0.729,0.618,250120,0.32,0.00265,7,0.105,-12.581,1,0.0264,108.839,4,0.233,2pszqheZOxlZs9cpJItBDL
"('Underneath Your Clothes', 'Shakira')",0.686,0.616,224067,0.597,0,8,0.104,-5.328,1,0.0415,165.508,4,0.362,15f8Cv8RXUlOOCIf2oaceN
"('My Interpretation', 'Mika')",0.0136,0.538,215093,0.735,8.2e-06,7,0.326,-6.36,1,0.0315,96.499,4,0.405,1lKNFJDsQeHIcnEm6tf80z
"('Just Like Old Times', 'Todd Snider')",0.592,0.49,349867,0.658,0,2,0.908,-7.582,1,0.0336,78.274,4,0.589,4k9gLiLLRL866isfdFsDzi
"('The Soul Cages', 'Sting')",0.895,0.773,163067,0.0499,0.868,4,0.11,-22.714,0,0.0573,115.316,3,0.484,5BByR2UEoYzFB833XNeeJf
"('This Love', 'The Veronicas')",0.0243,0.636,178800,0.747,0,8,0.256,-4.125,1,0.0881,155.979,4,0.616,4qcaBnupWEEZO1jeiMonOY
"('Kimse Bilmez', 'Mehmet Güreli')",0.966,0.675,205787,0.244,0.00286,9,0.0866,-12.17,0,0.0355,117.835,4,0.286,6JLWscSAPrRHmZfHTWdC2u
"('How Long', 'Ace')",0.587,0.717,204227,0.406,0.103,0,0.0869,-13.954,0,0.0305,123.213,4,0.703,4AjKVyNUMdUveKK5OH1OJD
"('Be Still, Child', 'Mewithoutyou')",0.00196,0.33,161787,0.794,0.00119,0,0.122,-5.476,1,0.0314,81.245,4,0.278,3R7aTV4MlBdFninNq8DnwJ
"('Missing', 'Anders Parker')",0.569,0.63,224133,0.338,0.00294,2,0.155,-11.707,1,0.0288,128.529,4,0.267,2fxSZGtTYsF2wT0aBKJYTR
"('Funky Kingston', 'Toots & The Maytals')",0.449,0.609,201267,0.436,0.00677,8,0.121,-11.99,1,0.146,175.244,4,0.921,389R9arpxdfl0JA450Qn9m
"('Today Your Love, Tomorrow The World', 'Ramones')",0.00012,0.122,132667,0.917,0.908,9,0.38,-3.28,1,0.0738,179.792,4,0.351,7BmrfUmiDAPHGZCuPCD1F7
"('Cities Of The Future', 'Infected Mushroom')",0.00971,0.682,419720,0.872,0.436,7,0.11,-5.949,1,0.104,144.983,4,0.416,5EEDnjtmJ0gDuygYlUFMAb
"('Fu-Gee-La', 'Fugees')",0.137,0.682,260067,0.505,0,1,0.234,-11.709,1,0.138,89.954,4,0.4,1rJM37Dd4OcSJvzI84yCcP
"('Stay In The Shade', 'José González')",0.788,0.555,165507,0.259,0.55,5,0.121,-12.723,1,0.0373,102.569,4,0.0666,1VS6BYKweyrXaouFwSdgco
"('Vertebrae By Vertebrae', 'Björk')",0.595,0.269,303587,0.592,0.0007,6,0.535,-9.218,1,0.0713,80.88,1,0.126,1LHHxM53A45pdHj52aO5li
"('I Used To Love H.E.R.', 'Common')",0.074,0.74,278707,0.445,3.4e-05,1,0.424,-13.222,1,0.397,91.745,4,0.593,4TboAbE2pCUUB0fk6Q9rUU
"('Getting Closer', 'Hird')",0.261,0.715,379987,0.648,0.487,7,0.0872,-9.117,1,0.0502,117.006,4,0.221,6HZ42MWX5X0PyhH41oXlpH
"('Elusive', 'Scott Matthews')",0.947,0.472,220067,0.208,0.0503,7,0.11,-16.751,1,0.0482,145.667,4,0.231,4RgQbTtfVVtj2po2zk1asA
"('Easy Silence', 'Dixie Chicks')",0.574,0.602,241900,0.396,0,2,0.0926,-7.186,1,0.0233,87.411,4,0.283,1m9psn7vXZCkPA5Mykloh8
"('Tough Guys', 'Cock Sparrer')",0.00267,0.319,224213,0.982,0,0,0.392,-5.088,1,0.0463,181.774,4,0.662,4cyj9E71CvNSxpSgnYUGCr
"('Sem Contenção', 'Bebel Gilberto')",0.146,0.826,190600,0.56,0.00321,8,0.161,-9.646,1,0.034,114.008,4,0.899,1btuPtFi367I1ZZQleqxD6
"('Apache Figurines', 'The Joggers')",0.000182,0.503,367853,0.779,0.00221,9,0.0737,-9.049,0,0.0389,173.106,4,0.446,1PtDhj2UWhYwBaH27X8TzO
"('A Circular Reeducation', 'Tycho')",0.578,0.675,326173,0.48,0.893,0,0.089,-11.284,1,0.0281,119.988,4,0.336,0up7sEkrgUrv4lbinLwo9L
"('Tempted', 'Squeeze')",0.0986,0.735,240333,0.355,0.158,6,0.0534,-13.711,0,0.0329,95.257,4,0.449,5r2z0FHOoFI06GZEVGDjzM
"('The Jungler', 'Midlake')",0.188,0.446,222293,0.52,0.0174,5,0.173,-9.387,0,0.0272,105.256,4,0.45,0cpAZ5rHXp9dtP2VIcwbc6
"('Dead Leaf', 'Lite')",0.348,0.564,244893,0.631,0.611,8,0.0837,-9.997,0,0.0392,123.129,4,0.861,6cokqILrddr9H7Je7OFHTX
"('Behind (Callea Club Mix)', 'Flanders')",0.0148,0.876,449680,0.555,0.0295,3,0.0398,-8.761,0,0.126,126.008,4,0.354,20BRhJQmZWAKHAJQUyYWex
"('Space Aura', 'Sun Ra')",0.631,0.473,311554,0.499,0.0101,6,0.11,-10.585,1,0.0489,130.701,4,0.531,1kcqqepEkqHWvg4dCgjHU0
"('In The Morning', 'The Coral')",0.0213,0.638,152493,0.8,0,6,0.0687,-6.223,0,0.0288,126.358,4,0.966,42BG1YicY94Nl4Ne7rGzSa
"('In My Blood', 'Laakso')",0.000353,0.245,240160,0.928,0.000204,11,0.0919,-3.951,0,0.111,146.445,4,0.353,1VL1Fc7cJwOIQa2PIs0rH3
"('30Kft', 'Assemblage 23')",0.532,0.478,195400,0.673,0.000109,1,0.471,-11.68,1,0.112,177.999,4,0.736,6N6pckaoe6MgoTNCM3qCAk
"('Comme Ca', 'Capsule')",0.00179,0.641,377360,0.749,0,8,0.182,-9.288,1,0.0412,138.023,4,0.95,6ndV7NnSf4shFKKECUiHpu
"('The Green Manalishi (With The Two-Pronged Crown)', 'Judas Priest')",0.000738,0.554,202627,0.79,0.00413,9,0.341,-7.126,1,0.0696,124.338,4,0.598,7vix78VAZBiWLLHPoTnYdy
"('Wickerman', 'Pulp')",0.0222,0.233,501053,0.661,0.00169,4,0.334,-8.482,0,0.056,77.906,3,0.133,3FUiaxn22XBjINw9FR3afC
"('Aly, Walk With Me', 'The Raveonettes')",0.000827,0.525,298880,0.905,0.622,1,0.0591,-3.377,1,0.042,98.02,4,0.734,2rNEUYh8hyr29Q8M7nHv9O
"('Witches On The Heath', 'Buckethead')",0.994,0.576,161147,0.176,0.827,1,0.0599,-11.917,0,0.0311,90.538,4,0.145,6gsqEgNiGgEnHefN4r8IBZ
"('Glass', 'Ingrid Michaelson')",0.446,0.286,184013,0.353,0.132,11,0.107,-8.457,0,0.027,135.079,4,0.0789,6xKPVkK4IZLst3ztuWAoe8
"('Sing It Back', 'Moloko')",0.00698,0.761,278000,0.775,0.000543,3,0.0512,-7.495,0,0.0339,123.017,4,0.966,53qhh1kdcX4gRBShoW4LK8
"('Blindness', 'Metric')",0.22,0.372,266867,0.626,0.249,7,0.183,-5.374,1,0.0288,111.901,4,0.111,1RmpCq7WxpJtzlVTyjPEcb
"('Spur Of The Moment', 'Jumpsteady')",0.0116,0.724,217867,0.742,1.28e-06,2,0.415,-7.113,1,0.211,89.844,4,0.381,5LbeJDZqZq8jPbhRhT3AqU
"('Cocody Rock', 'Alpha Blondy')",0.107,0.797,293947,0.669,8.86e-05,11,0.0603,-6.344,0,0.0836,147.373,4,0.959,44niAGVd6DU0Aa5DwMltPd
"('There Was A Time', ""Guns N' Roses"")",0.0326,0.298,400693,0.92,0.000547,6,0.0708,-7.454,0,0.0924,179.953,4,0.388,2PrmCyoClC4ulLJR42z74O
"('Şarkılar Yazdım', 'Asu Maralman')",0.639,0.491,187193,0.568,1.79e-05,5,0.482,-9.496,0,0.0329,105.125,4,0.712,4pw4tRQLUYw6nrfMMB46EH
"('No Fit State', 'Hot Chip')",0.027,0.676,338013,0.618,0.0245,5,0.0608,-6.953,0,0.0279,127.018,4,0.203,7g7PQK3KFdjaCcwQGbfbAe
"('Reste Là', 'Keren Ann')",0.59,0.448,185933,0.564,0.333,1,0.129,-10.898,0,0.0396,184.074,4,0.742,4sa051cGbCMszvXsFvZ7kZ
"('Clocks', 'Doubting Thomas')",0.0695,0.718,260773,0.751,0.835,4,0.376,-14.627,0,0.0429,101.181,4,0.283,1E2hervIpFgMNJpY4WLH23
"('Poeme Pour Catherine', 'Martin Tillman')",0.98,0.283,258627,0.207,0.859,8,0.114,-16.238,0,0.0366,118.846,3,0.0898,2K0xUn0BSy4WxEx9HQGgWF
"('The Glorious Nosebleed', 'Circa Survive')",0.00129,0.512,193760,0.82,7.49e-05,10,0.233,-6.183,0,0.039,136.217,4,0.503,2VbitwHfMcthZ93tmElKbx
"('Miss Understood', '7 Year Bitch')",0.00052,0.474,187333,0.809,0.313,11,0.326,-6.471,0,0.0403,109.124,4,0.664,5dy7GRBv4dxguEk8UG433S
"('Bikes And Bridges', 'Defiance, Ohio')",0.0302,0.402,170187,0.725,0.002,7,0.332,-6.362,1,0.04,133.5,4,0.493,4BnPgUWgR4hrFaABJ9b40c
"('Creep', 'Stone Temple Pilots')",0.00483,0.662,334387,0.485,0.000295,4,0.086,-9.161,0,0.0304,107.767,4,0.171,6dmueYtoihUhlQZlImBCmm
"('Keep The Dream Alive', 'John Vanderslice')",0.00151,0.479,219027,0.674,6.1e-06,0,0.091,-5.948,1,0.0284,136.051,4,0.406,7fosfkNuYcgfZrTXmhsnxu
"(""I Don'T Need A Man"", 'The Pussycat Dolls')",0.0475,0.776,219093,0.957,1.65e-05,7,0.099,-3.882,0,0.0436,105.85,4,0.757,0XEBKZHp8imfvf9NYjV8Kg
"('The Curse Of Millhaven', 'Nick Cave & The Bad Seeds')",0.139,0.735,370573,0.403,0.473,4,0.107,-11.599,0,0.037,115.658,4,0.453,0qHeP8zt2WWef7EWCs1ECj
"('Pitchblack', 'The 69 Eyes')",0.00227,0.467,290907,0.783,0.295,6,0.153,-6.275,1,0.0358,157.003,4,0.578,4R0eRan33pxA0cPnhCV4Kj
"('In Human Form', 'Death')",0.000512,0.253,236933,0.903,0.148,8,0.0675,-11.705,1,0.0781,182.343,4,0.324,7yZa75S8OLOhS2R0SvNZKD
"('Take Me To The Riot', 'Stars')",0.0104,0.553,228467,0.725,0.029,3,0.15,-5.559,1,0.0394,132.612,4,0.6,7oDUXxUIlfEnCh3wfeteYe
"('Return Of Forever', 'High Contrast')",0.00628,0.465,499600,0.878,0.952,6,0.158,-9.167,0,0.0518,173.006,4,0.542,3JM8ZejcKsttSn2iBiUnQ6
"('I Love You', 'The Pipettes')",0.00337,0.37,96427,0.883,5.66e-06,0,0.0567,-2.214,0,0.0922,145.416,4,0.533,3RUR1Nwffa7CLXs4OLU0v4
"('Harmonicas & Tambourines', 'Hot Hot Heat')",0.000121,0.411,184853,0.977,0.122,9,0.292,-2.791,0,0.158,160.108,4,0.412,5NZkWjpek9oCj46Ci9KdLP
"('Yes We Can Can', 'The Pointer Sisters')",0.0262,0.786,362733,0.544,0.000874,7,0.0939,-14.04,1,0.247,89.95,4,0.81,7FpGAivMuzzBcnOlHZnouD
"('Himmelblau', 'Die Ärzte')",0.00463,0.474,196133,0.769,2.94e-05,8,0.115,-6.226,0,0.0332,159.84,4,0.24,1HBxmhAug5AepGA12iPxDa
"('Jesus Built My Hotrod', 'Ministry')",4.33e-06,0.541,292587,0.91,0.597,0,0.79,-5.114,1,0.0529,125.076,3,0.397,0BX3ysoHJvxmLEhPMAfb2z
"('The Things That I Used To Do', 'Guitar Slim')",0.81,0.51,180453,0.318,0,5,0.0867,-13.706,1,0.0395,68.022,4,0.651,3NWDb3bbMBTArBblzG4jMX
"('Dr. Glass', 'Deerhunter')",0.00311,0.812,194133,0.565,0.0359,4,0.117,-9.905,0,0.032,110.142,4,0.93,0MXDNhxIafRNWT4X7CTwlF
"('Caroline', 'Mc Solaar')",0.0799,0.65,311760,0.816,0.0001,9,0.985,-9.469,0,0.0457,85.99,4,0.757,7BcBFcBUwuB15Y1km6RkHZ
"('Say Hey There', 'Atmosphere')",0.155,0.509,269160,0.897,0.00216,1,0.445,-3.553,0,0.225,93.12,4,0.62,1QzCcvqjKRxIn3an4EMuhb
"('Onnellisen Valkoinen', 'Kuusumun Profeetta')",0.87,0.539,322253,0.314,0.0297,5,0.094,-13.077,1,0.0371,82.313,4,0.29,7CjgKZdWkO3L0mw89dBhYJ
"('Clarity', 'John Mayer')",0.172,0.666,271427,0.713,0.032,2,0.177,-3.551,1,0.0384,94.71,4,0.491,6atVS7UZBxoyJkkteM62u5
"('2 Minutes To Midnight', 'Iron Maiden')",0.00754,0.446,363587,0.97,0.000275,9,0.199,-5.004,0,0.0508,94.233,4,0.595,4sAjWbPq6iSI6I0Ovr9CkY
"('Gunship Politico', 'State Radio')",0.0224,0.55,343613,0.74,6.89e-06,8,0.287,-6.468,1,0.0492,93.514,4,0.617,0Bvlws8s097hBzZpQXyPlv
"('Enough', 'Yo La Tengo')",0.155,0.479,254653,0.639,0.757,0,0.249,-7.305,1,0.0299,123.983,4,0.806,6coIZl4kK9giKlmORGhl6U
"('Bonanza', 'The Books')",0.943,0.491,52627,0.0938,0.000798,2,0.0996,-19.385,1,0.0597,128.761,1,0.101,2Nkn3JG1u3GpTmrOywKtZ9
"('Get A New Daddy', ""The Whitest Kids U' Know"")",0.154,0.827,161960,0.607,0,2,0.132,-10.608,1,0.0888,169.827,4,0.782,6Wt83XorRbwrHMGDt3furX
"('Samba De Uma Nota Só', 'Stan Getz & Charlie Byrd')",0.955,0.427,419627,0.0467,0.0166,1,0.134,-24.557,1,0.0395,93.828,4,0.247,1xaTXPoDk4VOU9XhYX4KJM
"('Premiumline (Original Mix)', 'Edx')",0.00378,0.794,496875,0.701,0.946,8,0.043,-6.176,0,0.0505,128.002,4,0.717,3p9v5xxGCRuhDCocOBwxLN
"('Deeper Down', 'My Dying Bride')",6.82e-05,0.421,391480,0.681,0.003,6,0.0884,-6.195,1,0.0294,156.012,4,0.151,06xqkM90zLDUYPmeIHpUck
"('Collect Yourself', 'Iain Archer')",0.591,0.498,245827,0.26,0,2,0.161,-9.774,1,0.0284,103.171,4,0.172,5nRRec2ykXwkdq1oqMOhvL
"('Rime Con Niente', 'Giorgio Canali')",3.63e-05,0.494,222907,0.875,0.000108,2,0.0884,-5.293,0,0.0693,116.034,4,0.339,4iBeKPM7NOJNmnNbB5vZV1
"('The Closing Of The Doors', 'Róisín Murphy')",0.984,0.743,209173,0.0642,5.56e-06,3,0.144,-14.807,1,0.0427,87.97,4,0.0677,4nAJ7rNmLIqSz9sd1Uua02
